Accel_X,Accel_Y,Accel_Z,Magneto_X,Magneto_Y,Magneto_Z,Gyro_X,Gyro_Y,Gyro_Z,Gravity_X,Gravity_Y,Gravity_Z,Quaternion_W,Quaternion_X,Quaternion_Y,Quaternion_Z,Pressure,Temperature,Time
-0.3199999928474426,9.779999732971191,1.2599999904632568,13.1875,-18.0625,0.875,-0.0625,0.0,0.125,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102758.40625,24.52604866027832
-0.33000001311302185,9.770000457763672,1.2400000095367432,12.375,-18.375,0.0625,0.0625,-0.0625,-0.0625,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102758.9140625,24.52626609802246
-0.33000001311302185,9.789999961853027,1.2400000095367432,12.375,-18.375,0.0625,-0.125,0.0625,-0.125,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102758.5546875,24.525850296020508
-0.3499999940395355,9.770000457763672,1.2699999809265137,12.375,-17.25,0.5,0.0625,-0.125,-0.0625,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102758.3125,24.52669906616211
-0.3400000035762787,9.779999732971191,1.2400000095367432,13.1875,-17.25,0.0625,0.0,0.0625,-0.125,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102758.140625,24.526752471923828
-0.33000001311302185,9.779999732971191,1.2300000190734863,12.375,-18.0625,-0.25,0.0625,-0.0625,-0.125,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102758.296875,24.527942657470703
-0.3400000035762787,9.770000457763672,1.2699999809265137,12.75,-17.25,0.0625,-0.125,0.0625,-0.0625,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102758.15625,24.52711296081543
-0.3499999940395355,9.770000457763672,1.2699999809265137,12.75,-17.25,0.0625,0.0,0.0625,0.0,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102757.953125,24.52763557434082
-0.3400000035762787,9.770000457763672,1.2400000095367432,13.5,-18.375,0.0625,0.0625,0.125,-0.0625,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102758.078125,24.529186248779297
-0.3499999940395355,9.760000228881836,1.2300000190734863,12.75,-17.6875,0.875,-0.0625,0.0625,-0.0625,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102758.359375,24.529783248901367
-0.33000001311302185,9.789999961853027,1.2400000095367432,13.1875,-18.0625,0.0625,-0.1875,0.0,0.125,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102758.28125,24.530214309692383
-0.36000001430511475,9.760000228881836,1.2599999904632568,13.1875,-18.0625,-0.25,0.0,0.25,0.0625,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102758.078125,24.52998161315918
-0.33000001311302185,9.760000228881836,1.2599999904632568,13.1875,-18.0625,-0.25,0.0625,0.0,0.0625,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102757.671875,24.528627395629883
-0.3400000035762787,9.75,1.25,12.75,-18.0625,0.5,0.125,0.0,0.0,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102757.546875,24.529945373535156
-0.3100000023841858,9.75,1.2300000190734863,11.6875,-18.0625,0.5,-0.0625,0.0,0.0625,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102757.671875,24.529186248779297
-0.3400000035762787,9.760000228881836,1.2799999713897705,12.75,-18.375,0.0625,-0.0625,0.1875,-0.0625,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102757.765625,24.529186248779297
-0.3400000035762787,9.760000228881836,1.2699999809265137,13.75,-18.0625,0.0625,0.0625,0.0,-0.125,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102758.6953125,24.531513214111328
-0.3400000035762787,9.770000457763672,1.2400000095367432,13.75,-18.0625,0.0625,0.0,-0.0625,0.0,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102758.53125,24.531513214111328
-0.33000001311302185,9.770000457763672,1.2799999713897705,12.75,-18.0625,0.0625,0.0625,0.125,0.0,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102758.734375,24.5344181060791
-0.3400000035762787,9.760000228881836,1.25,13.75,-18.0625,-0.25,0.0,-0.0625,0.0,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102758.734375,24.5336971282959
-0.33000001311302185,9.75,1.2699999809265137,12.75,-17.6875,-0.25,0.0,0.0625,0.0625,-0.27000001072883606,9.710000038146973,1.2899999618530273,0.71051025390625,0.615966796875,0.23394775390625,0.2470703125,102758.890625,24.53373146057129
