Accel_X,Accel_Y,Accel_Z,Magneto_X,Magneto_Y,Magneto_Z,Gyro_X,Gyro_Y,Gyro_Z,Gravity_X,Gravity_Y,Gravity_Z,Quaternion_W,Quaternion_X,Quaternion_Y,Quaternion_Z,Pressure,Temperature,Time
-0.44999998807907104,-0.9700000286102295,9.760000228881836,8.0625,-23.6875,-57.75,0.0625,0.3125,-0.0625,-0.3799999952316284,-0.9700000286102295,9.75,0.1090087890625,-0.02490234375,-0.0474853515625,0.99261474609375,102313.3046875,19.04497718811035,84436.0
-0.4399999976158142,-0.9700000286102295,9.779999732971191,8.875,-24.375,-57.0,0.3125,-0.125,-0.0625,-0.3799999952316284,-0.9700000286102295,9.75,0.1090087890625,-0.02490234375,-0.0474853515625,0.99261474609375,102313.9140625,19.046998977661133,84476.0
-0.49000000953674316,-1.0,9.760000228881836,8.875,-24.375,-57.0,-0.125,0.25,0.0,-0.3799999952316284,-0.9700000286102295,9.75,0.1090087890625,-0.02490234375,-0.0474853515625,0.99261474609375,102313.5546875,19.04680061340332,84516.0
-0.49000000953674316,-0.9599999785423279,9.760000228881836,8.0625,-23.25,-55.75,0.125,-0.4375,-0.0625,-0.3799999952316284,-0.9700000286102295,9.75,0.1090087890625,-0.02490234375,-0.0474853515625,0.99261474609375,102314.0625,19.048948287963867,84556.0
-0.46000000834465027,-0.9700000286102295,9.75,7.375,-24.375,-57.6875,0.0625,-0.375,0.125,-0.3799999952316284,-0.9700000286102295,9.75,0.1090087890625,-0.02490234375,-0.0474853515625,0.99261474609375,102313.3125,19.048263549804688,84596.0
-0.44999998807907104,-0.9800000190734863,9.770000457763672,7.75,-24.375,-59.25,0.0625,0.3125,-0.125,-0.3799999952316284,-0.9700000286102295,9.75,0.1090087890625,-0.02490234375,-0.0474853515625,0.99261474609375,102313.09375,19.047739028930664,84636.0
-0.4699999988079071,-0.9800000190734863,9.779999732971191,7.75,-24.375,-57.6875,-0.125,0.3125,-0.0625,-0.3799999952316284,-0.9700000286102295,9.75,0.1090087890625,-0.02490234375,-0.0474853515625,0.99261474609375,102313.1953125,19.049074172973633,84676.0
-0.4399999976158142,-0.9800000190734863,9.779999732971191,7.75,-24.375,-57.6875,-0.0625,0.0625,0.125,-0.3799999952316284,-0.9700000286102295,9.75,0.1090087890625,-0.02490234375,-0.0474853515625,0.99261474609375,102313.078125,19.048931121826172,84716.0
-0.47999998927116394,-0.9800000190734863,9.770000457763672,8.0625,-24.75,-58.5,-0.125,0.0,-0.0625,-0.3799999952316284,-0.9700000286102295,9.75,0.1090087890625,-0.02490234375,-0.0474853515625,0.99261474609375,102313.2578125,19.050556182861328,84756.0
-0.4300000071525574,-0.9900000095367432,9.739999771118164,8.5,-23.6875,-58.0625,-0.0625,0.25,-0.0625,-0.3799999952316284,-0.9700000286102295,9.75,0.1090087890625,-0.02490234375,-0.0474853515625,0.99261474609375,102313.125,19.050031661987305,84796.0
-0.4399999976158142,-0.9800000190734863,9.770000457763672,8.5,-24.0625,-57.6875,0.0625,-0.125,0.0,-0.3799999952316284,-0.9700000286102295,9.75,0.1090087890625,-0.02490234375,-0.0474853515625,0.99261474609375,102313.0,19.049074172973633,84836.0
-0.5,-0.9599999785423279,9.789999961853027,8.5,-23.6875,-57.75,0.0625,0.375,-0.125,-0.3799999952316284,-0.9700000286102295,9.75,0.1090087890625,-0.02490234375,-0.0474853515625,0.99261474609375,102313.328125,19.049509048461914,84876.0
-0.4399999976158142,-0.9599999785423279,9.760000228881836,8.5,-23.6875,-57.75,0.1875,0.25,0.0625,-0.3799999952316284,-0.9700000286102295,9.75,0.10906982421875,-0.02508544921875,-0.04742431640625,0.99261474609375,102313.328125,19.050989151000977,84916.0
-0.49000000953674316,-0.9700000286102295,9.760000228881836,7.75,-24.0625,-58.5,-0.0625,2.375,0.3125,-0.38999998569488525,-0.9700000286102295,9.739999771118164,0.10906982421875,-0.02587890625,-0.04736328125,0.9925537109375,102313.078125,19.050933837890625,84956.0
-0.5199999809265137,-0.9300000071525574,9.75,8.0625,-24.0625,-57.75,0.25,1.4375,0.0,-0.4000000059604645,-0.9700000286102295,9.739999771118164,0.109130859375,-0.0264892578125,-0.04730224609375,0.9925537109375,102313.21875,19.052053451538086,84996.0
-0.5299999713897705,-0.9900000095367432,9.770000457763672,7.75,-23.25,-58.1875,0.0,1.75,0.0625,-0.4099999964237213,-0.9700000286102295,9.739999771118164,0.109130859375,-0.02685546875,-0.0472412109375,0.9925537109375,102313.4296875,19.05348014831543,85036.0
-0.5199999809265137,-0.9800000190734863,9.75,8.5,-23.6875,-57.6875,-0.375,1.0625,-0.1875,-0.41999998688697815,-0.9700000286102295,9.739999771118164,0.109130859375,-0.02728271484375,-0.04718017578125,0.9925537109375,102312.6328125,19.053966522216797,85076.0
-0.49000000953674316,-0.9800000190734863,9.75,8.5,-23.6875,-57.6875,-0.125,0.25,0.125,-0.4300000071525574,-0.9700000286102295,9.739999771118164,0.109130859375,-0.02734375,-0.04718017578125,0.9925537109375,102312.359375,19.05490493774414,85116.0
-0.550000011920929,-0.9900000095367432,9.770000457763672,8.875,-23.6875,-57.75,0.125,-0.0625,0.125,-0.4300000071525574,-0.9700000286102295,9.739999771118164,0.109130859375,-0.02734375,-0.04718017578125,0.9925537109375,102313.125,19.05849838256836,85156.0
