Accel_X,Accel_Y,Accel_Z,Magneto_X,Magneto_Y,Magneto_Z,Gyro_X,Gyro_Y,Gyro_Z,Gravity_X,Gravity_Y,Gravity_Z,Quaternion_W,Quaternion_X,Quaternion_Y,Quaternion_Z,Pressure,Temperature,Time
-0.28999999165534973,-0.09000000357627869,9.739999771118164,-15.875,-8.375,-51.1875,0.0625,0.25,-0.125,-0.2800000011920929,-0.1599999964237213,9.800000190734863,-0.5032958984375,-0.00860595703125,-0.0146484375,0.86395263671875,83064.8515625,23.358642578125,65671.0
-0.28999999165534973,-0.09000000357627869,9.760000228881836,-14.375,-8.375,-51.1875,-0.0625,-0.5,-0.0625,-0.2800000011920929,-0.1599999964237213,9.800000190734863,-0.5032958984375,-0.00860595703125,-0.0146484375,0.86395263671875,102385.0,19.307262420654297,65711.0
-0.27000001072883606,-0.07000000029802322,9.75,-15.0625,-7.5625,-52.0,0.1875,-0.0625,0.0,-0.2800000011920929,-0.1599999964237213,9.800000190734863,-0.5032958984375,-0.008544921875,-0.01458740234375,0.86395263671875,102383.7421875,19.327478408813477,65751.0
-0.3199999928474426,-0.09000000357627869,9.779999732971191,-15.0625,-7.5625,-52.0,-0.0625,-0.0625,-0.0625,-0.2800000011920929,-0.1599999964237213,9.800000190734863,-0.5032958984375,-0.008544921875,-0.01458740234375,0.86395263671875,102381.859375,19.3576602935791,65791.0
-0.28999999165534973,-0.09000000357627869,9.739999771118164,-14.375,-8.6875,-50.5,-0.0625,0.1875,0.0,-0.2800000011920929,-0.1599999964237213,9.800000190734863,-0.5032958984375,-0.008544921875,-0.01458740234375,0.86395263671875,102379.2265625,19.39069175720215,65831.0
-0.3100000023841858,-0.07000000029802322,9.720000267028809,-14.75,-8.6875,-51.1875,0.0,-0.375,0.0625,-0.2800000011920929,-0.1599999964237213,9.800000190734863,-0.5032958984375,-0.008544921875,-0.01458740234375,0.86395263671875,102377.59375,19.425872802734375,65871.0
-0.28999999165534973,-0.07000000029802322,9.779999732971191,-15.5,-8.375,-51.5625,0.125,0.125,0.0,-0.2800000011920929,-0.1599999964237213,9.800000190734863,-0.5032958984375,-0.008544921875,-0.01458740234375,0.86395263671875,102376.875,19.459753036499023,65911.0
-0.3100000023841858,-0.10999999940395355,9.770000457763672,-14.375,-8.0,-51.5625,0.125,-0.0625,0.1875,-0.2800000011920929,-0.1599999964237213,9.800000190734863,-0.5032958984375,-0.008544921875,-0.01458740234375,0.86395263671875,102375.265625,19.48863410949707,65951.0
-0.3100000023841858,-0.05999999865889549,9.800000190734863,-14.375,-8.0,-51.5625,0.0,0.375,-0.1875,-0.2800000011920929,-0.1599999964237213,9.800000190734863,-0.5032958984375,-0.008544921875,-0.01458740234375,0.86395263671875,102374.46875,19.514915466308594,65991.0
-0.2800000011920929,-0.07999999821186066,9.75,-14.75,-8.0,-50.5,0.25,0.0,-0.0625,-0.2800000011920929,-0.1599999964237213,9.800000190734863,-0.5032958984375,-0.008544921875,-0.01458740234375,0.86395263671875,102373.734375,19.536935806274414,66031.0
-0.3199999928474426,-0.07999999821186066,9.789999961853027,-14.0625,-8.6875,-51.1875,-0.3125,-0.25,0.0625,-0.2800000011920929,-0.1599999964237213,9.800000190734863,-0.5032958984375,-0.008544921875,-0.01458740234375,0.86395263671875,102372.9375,19.558073043823242,66071.0
-0.3400000035762787,-0.07999999821186066,9.789999961853027,-15.5,-8.0,-52.375,-0.1875,0.125,0.0,-0.2800000011920929,-0.1599999964237213,9.800000190734863,-0.5032958984375,-0.008544921875,-0.01458740234375,0.86395263671875,102372.5078125,19.57394027709961,66111.0
-0.30000001192092896,-0.10999999940395355,9.75,-15.5,-8.0,-52.375,0.0625,0.125,-0.125,-0.2800000011920929,-0.1599999964237213,9.800000190734863,-0.5032958984375,-0.008544921875,-0.01458740234375,0.86395263671875,102372.5625,19.589282989501953,66151.0
-0.3100000023841858,-0.09000000357627869,9.760000228881836,-13.6875,-8.0,-51.5625,0.0,0.125,0.1875,-0.2800000011920929,-0.1599999964237213,9.800000190734863,-0.5032958984375,-0.008544921875,-0.01458740234375,0.86395263671875,102371.6796875,19.6002197265625,66191.0
-0.30000001192092896,-0.14000000059604645,9.739999771118164,-14.0625,-7.5625,-50.875,0.125,0.25,0.0,-0.2800000011920929,-0.1599999964237213,9.800000190734863,-0.5032958984375,-0.008544921875,-0.01458740234375,0.86395263671875,102371.3828125,19.61132049560547,66231.0
-0.30000001192092896,-0.12999999523162842,9.75,-13.6875,-8.375,-51.1875,0.1875,-0.0625,-0.1875,-0.2800000011920929,-0.1599999964237213,9.800000190734863,-0.5032958984375,-0.008544921875,-0.01458740234375,0.86395263671875,102371.0703125,19.620798110961914,66271.0
-0.3499999940395355,-0.09000000357627869,9.8100004196167,-14.75,-8.6875,-50.875,-0.0625,-0.125,0.125,-0.2800000011920929,-0.1599999964237213,9.800000190734863,-0.5032958984375,-0.008544921875,-0.01458740234375,0.86395263671875,102370.7265625,19.62848663330078,66311.0
-0.30000001192092896,-0.09000000357627869,9.760000228881836,-14.75,-8.6875,-50.875,-0.25,0.125,0.125,-0.2800000011920929,-0.1599999964237213,9.800000190734863,-0.5032958984375,-0.008544921875,-0.01458740234375,0.86395263671875,102370.796875,19.636554718017578,66351.0
-0.28999999165534973,-0.11999999731779099,9.75,-14.375,-8.375,-51.1875,-0.1875,-0.5,0.0625,-0.2800000011920929,-0.1599999964237213,9.800000190734863,-0.5032958984375,-0.008544921875,-0.01458740234375,0.86395263671875,102370.6328125,19.641447067260742,66391.0
