Accel_X,Accel_Y,Accel_Z,Magneto_X,Magneto_Y,Magneto_Z,Gyro_X,Gyro_Y,Gyro_Z,Gravity_X,Gravity_Y,Gravity_Z,Quaternion_W,Quaternion_X,Quaternion_Y,Quaternion_Z,Pressure,Temperature,Time
-0.2199999988079071,0.2199999988079071,9.770000457763672,12.0,-20.0,-59.75,0.4375,-0.125,0.0,-0.14000000059604645,0.2800000011920929,9.800000190734863,-0.2618408203125,0.0032958984375,-0.01611328125,-0.9649658203125,83064.8515625,23.358642578125,64371.0
-0.2800000011920929,0.23000000417232513,9.84000015258789,12.0,-20.0,-59.75,0.5,-0.4375,-0.0625,-0.14000000059604645,0.2800000011920929,9.800000190734863,-0.2618408203125,0.0032958984375,-0.01611328125,-0.9649658203125,102321.5703125,22.185523986816406,64411.0
-0.23999999463558197,0.2800000011920929,9.8100004196167,11.1875,-21.375,-59.75,-0.25,-0.125,0.375,-0.14000000059604645,0.2800000011920929,9.800000190734863,-0.2618408203125,0.0032958984375,-0.01611328125,-0.9649658203125,102320.703125,22.206310272216797,64451.0
-0.2199999988079071,0.20999999344348907,9.800000190734863,11.5625,-20.6875,-59.5,1.625,-1.0,0.9375,-0.14000000059604645,0.28999999165534973,9.800000190734863,-0.261474609375,0.00274658203125,-0.01666259765625,-0.965087890625,102319.1953125,22.238065719604492,64491.0
-0.18000000715255737,0.3100000023841858,9.789999961853027,12.6875,-21.0,-60.1875,1.4375,-0.875,1.25,-0.12999999523162842,0.30000001192092896,9.800000190734863,-0.26116943359375,0.00244140625,-0.0169677734375,-0.96514892578125,102317.7421875,22.273427963256836,64531.0
-0.1599999964237213,0.3100000023841858,9.789999961853027,10.75,-20.6875,-59.75,0.1875,-0.25,1.125,-0.12999999523162842,0.30000001192092896,9.800000190734863,-0.2607421875,0.00244140625,-0.0169677734375,-0.96527099609375,102316.0625,22.308612823486328,64571.0
-0.28999999165534973,0.18000000715255737,9.819999694824219,10.75,-20.6875,-59.75,-0.25,0.3125,0.375,-0.12999999523162842,0.30000001192092896,9.800000190734863,-0.2607421875,0.00250244140625,-0.0169677734375,-0.96527099609375,102314.96875,22.342514038085938,64611.0
-0.1899999976158142,0.28999999165534973,9.800000190734863,12.25,-21.0,-60.5625,-0.1875,0.4375,-0.125,-0.12999999523162842,0.30000001192092896,9.800000190734863,-0.2607421875,0.00250244140625,-0.0169677734375,-0.96527099609375,102313.2578125,22.37139892578125,64651.0
-0.17000000178813934,0.28999999165534973,9.779999732971191,11.5625,-21.375,-59.75,0.25,-0.125,-0.0625,-0.12999999523162842,0.30000001192092896,9.800000190734863,-0.2607421875,0.00250244140625,-0.0169677734375,-0.96527099609375,102312.0625,22.397687911987305,64691.0
-0.1899999976158142,0.27000001072883606,9.800000190734863,11.5625,-20.6875,-60.5625,0.0625,0.0625,0.4375,-0.12999999523162842,0.30000001192092896,9.800000190734863,-0.2607421875,0.00250244140625,-0.0169677734375,-0.96527099609375,102311.421875,22.420276641845703,64731.0
-0.2199999988079071,0.1899999976158142,9.8100004196167,11.5625,-20.25,-60.1875,0.0,-0.0625,1.125,-0.12999999523162842,0.30000001192092896,9.800000190734863,-0.26055908203125,0.00250244140625,-0.01702880859375,-0.96533203125,102310.296875,22.438949584960938,64771.0
-0.25,0.25999999046325684,9.819999694824219,11.5625,-20.25,-60.1875,-0.1875,0.375,0.3125,-0.12999999523162842,0.30000001192092896,9.800000190734863,-0.26055908203125,0.00250244140625,-0.01702880859375,-0.96533203125,102309.7109375,22.455278396606445,64811.0
-0.2199999988079071,0.23000000417232513,9.789999961853027,11.1875,-21.75,-59.75,-0.8125,0.8125,-0.125,-0.12999999523162842,0.30000001192092896,9.800000190734863,-0.26055908203125,0.00262451171875,-0.01690673828125,-0.96533203125,102309.5625,22.467510223388672,64851.0
-0.1899999976158142,0.3499999940395355,9.789999961853027,10.75,-20.6875,-59.75,0.375,-0.25,0.0,-0.12999999523162842,0.30000001192092896,9.800000190734863,-0.26055908203125,0.00262451171875,-0.01690673828125,-0.96533203125,102308.875,22.475540161132812,64891.0
-0.18000000715255737,0.2199999988079071,9.760000228881836,11.5625,-21.0,-60.5625,-0.3125,0.0,-0.125,-0.12999999523162842,0.30000001192092896,9.800000190734863,-0.26055908203125,0.00262451171875,-0.01690673828125,-0.96533203125,102309.0390625,22.485607147216797,64931.0
-0.20000000298023224,0.27000001072883606,9.800000190734863,12.0,-20.25,-59.0625,0.125,0.0,0.125,-0.12999999523162842,0.30000001192092896,9.800000190734863,-0.26055908203125,0.00262451171875,-0.01690673828125,-0.96533203125,102308.8515625,22.49372673034668,64971.0
-0.20999999344348907,0.25999999046325684,9.779999732971191,12.0,-20.25,-59.0625,0.1875,-0.1875,0.0,-0.12999999523162842,0.30000001192092896,9.800000190734863,-0.26055908203125,0.00262451171875,-0.01690673828125,-0.96533203125,102309.1015625,22.502134323120117,65011.0
-0.20999999344348907,0.27000001072883606,9.8100004196167,11.1875,-21.0,-59.75,0.125,0.1875,0.0,-0.12999999523162842,0.30000001192092896,9.800000190734863,-0.26055908203125,0.00262451171875,-0.01690673828125,-0.96533203125,102308.5390625,22.50727653503418,65051.0
-0.23000000417232513,0.17000000178813934,9.770000457763672,12.0,-21.0,-59.0625,-0.5,0.5625,0.0,-0.12999999523162842,0.30000001192092896,9.800000190734863,-0.26055908203125,0.00262451171875,-0.01690673828125,-0.96533203125,102308.125,22.513446807861328,65091.0
